cycle_id,operator_id,skill,t,phase,boom_deg,stick_deg,bucket_deg,swing_deg,hydraulic_pressure_bar,payload_kg,fuel_burn_l
CYC00001,OP1030,Intermediate,0.0,dig,25.9,20.9,20.9,0.4,6.4,0.0,0.0587
CYC00001,OP1030,Intermediate,1.0,dig,27.9,29.2,27.7,2.0,14.4,125.0,0.0587
CYC00001,OP1030,Intermediate,2.0,dig,18.7,35.8,30.6,-1.2,68.5,438.0,0.0587
CYC00001,OP1030,Intermediate,3.0,dig,17.1,54.6,44.6,-0.2,134.8,845.0,0.0587
CYC00001,OP1030,Intermediate,4.0,dig,18.3,76.3,61.4,2.2,179.0,1252.0,0.0587
CYC00001,OP1030,Intermediate,5.0,dig,10.3,84.0,65.5,-0.4,221.1,1565.0,0.0587
CYC00001,OP1030,Intermediate,6.0,dig,11.4,91.4,71.4,0.7,258.7,1691.0,0.0587
CYC00001,OP1030,Intermediate,7.0,swing_load,11.3,91.3,71.3,0.6,32.0,0.0,0.058
CYC00001,OP1030,Intermediate,8.0,swing_load,13.5,93.5,73.0,13.1,51.7,264.0,0.058
CYC00001,OP1030,Intermediate,9.0,swing_load,13.2,93.2,71.7,37.8,33.6,845.0,0.058
CYC00001,OP1030,Intermediate,10.0,swing_load,13.6,93.6,71.1,63.0,43.7,1426.0,0.058
CYC00001,OP1030,Intermediate,11.0,swing_load,15.8,95.8,72.8,75.4,49.1,1691.0,0.058
CYC00001,OP1030,Intermediate,12.0,dump,13.4,93.4,70.4,74.2,34.7,0.0,0.0547
CYC00001,OP1030,Intermediate,13.0,dump,17.4,89.5,63.9,75.0,36.7,0.0,0.0547
CYC00001,OP1030,Intermediate,14.0,dump,20.1,75.1,43.6,73.8,31.2,0.0,0.0547
CYC00001,OP1030,Intermediate,15.0,dump,27.1,65.0,27.6,74.7,50.7,0.0,0.0547
CYC00001,OP1030,Intermediate,16.0,dump,29.7,59.7,19.7,74.9,15.2,0.0,0.0547
CYC00001,OP1030,Intermediate,17.0,swing_return,31.1,61.1,21.1,75.5,55.9,0.0,0.0557
CYC00001,OP1030,Intermediate,18.0,swing_return,29.7,54.2,20.5,63.5,49.4,0.0,0.0557
CYC00001,OP1030,Intermediate,19.0,swing_return,28.1,40.6,20.6,37.8,55.3,0.0,0.0557
CYC00001,OP1030,Intermediate,20.0,swing_return,26.5,27.0,20.7,12.1,58.4,0.0,0.0557
CYC00001,OP1030,Intermediate,21.0,swing_return,24.0,19.0,19.0,-0.5,26.8,0.0,0.0557
CYC00002,OP1015,Expert,0.0,dig,25.1,20.1,20.1,0.0,10.4,0.0,0.0661
CYC00002,OP1015,Expert,1.0,dig,15.4,52.9,42.9,-1.1,106.6,659.0,0.0661
CYC00002,OP1015,Expert,2.0,dig,10.0,90.0,70.0,0.0,186.0,1318.0,0.0661
CYC00002,OP1015,Expert,3.0,swing_load,9.5,89.5,69.5,-0.2,41.0,0.0,0.0577
CYC00002,OP1015,Expert,4.0,swing_load,9.7,89.7,69.2,11.2,54.2,206.0,0.0577
CYC00002,OP1015,Expert,5.0,swing_load,12.6,92.6,71.1,37.5,53.8,659.0,0.0577
CYC00002,OP1015,Expert,6.0,swing_load,13.2,93.2,70.7,62.8,32.0,1112.0,0.0577
CYC00002,OP1015,Expert,7.0,swing_load,13.2,93.2,70.2,74.1,56.7,1318.0,0.0577
