window_id,machine_id,operator_id,site_id,ts_start,ts_end,duration_min,reason,gps_location,nearby_machines_count,queue_position_estimate
IDLE000001,DZR001,OP1024,SITE02,2025-03-17 19:31:00,2025-03-17 19:35:00,5,warmup,"17.38500,78.48670",1.0,0
IDLE000002,DZR001,OP1024,SITE02,2025-03-17 20:09:00,2025-03-17 20:11:00,3,break,"17.38504,78.48674",0.3,0
IDLE000003,DZR001,OP1024,SITE02,2025-03-17 20:27:00,2025-03-17 20:28:00,2,truck_wait,"17.38496,78.48675",1.0,2
IDLE000004,DZR001,OP1024,SITE02,2025-03-17 20:43:00,2025-03-17 20:46:00,4,truck_wait,"17.38494,78.48677",0.8,0
IDLE000005,DZR001,OP1024,SITE02,2025-03-17 21:46:00,2025-03-17 21:47:00,2,break,"17.38476,78.48681",1.0,0
IDLE000006,DZR001,OP1024,SITE02,2025-03-17 22:07:00,2025-03-17 22:11:00,5,truck_wait,"17.38475,78.48687",1.0,1
IDLE000007,DZR001,OP1024,SITE02,2025-03-17 22:39:00,2025-03-17 22:43:00,5,break,"17.38474,78.48689",0.0,0
IDLE000008,DZR001,OP1024,SITE02,2025-03-17 22:49:00,2025-03-17 22:50:00,2,unjustified,"17.38473,78.48691",0.5,0
IDLE000009,DZR001,OP1024,SITE02,2025-03-17 23:10:00,2025-03-17 23:12:00,3,truck_wait,"17.38465,78.48687",0.3,2
IDLE000010,DZR001,OP1024,SITE02,2025-03-17 23:35:00,2025-03-17 23:36:00,2,unjustified,"17.38465,78.48685",1.5,0
IDLE000011,DZR001,OP1024,SITE02,2025-03-17 23:59:00,2025-03-18 00:00:00,2,truck_wait,"17.38484,78.48672",0.0,0
IDLE000012,DZR001,OP1024,SITE02,2025-03-18 00:15:00,2025-03-18 00:17:00,3,warmup,"17.38484,78.48673",1.0,0
IDLE000013,DZR001,OP1024,SITE02,2025-03-18 01:05:00,2025-03-18 01:07:00,3,truck_wait,"17.38512,78.48719",1.0,1
IDLE000014,DZR001,OP1024,SITE02,2025-03-18 01:34:00,2025-03-18 01:41:00,8,unjustified,"17.38495,78.48710",0.5,0
IDLE000015,DZR001,OP1024,SITE02,2025-03-18 02:03:00,2025-03-18 02:04:00,2,truck_wait,"17.38498,78.48717",0.0,1
