id,ts,machine_id,operator_id,type,severity,is_near_miss,trigger,weather_at_time,visibility_at_time_m,root_cause_category,corrective_action,near_miss_confidence_score,time_to_acknowledge_sec,context_json
INC00001,2025-03-17 08:37:00,WLD004,OP1009,struck_by,Near-miss,True,red_zone_swing,Sunny,8543.0,worker entered swing radius during active dig cycle,Reinforce swing-radius exclusion zone signage and spotter protocol.,0.6,5.8,"{""trigger"": ""red_zone_swing"", ""site_id"": ""SITE01""}"
INC00002,2025-03-17 08:58:00,EXC006,OP1013,struck_by,Near-miss,True,red_zone_swing,Sunny,7893.0,worker entered swing radius during active dig cycle,Reinforce swing-radius exclusion zone signage and spotter protocol.,0.87,1.9,"{""trigger"": ""red_zone_swing"", ""site_id"": ""SITE03""}"
INC00003,2025-03-17 09:16:00,EXC004,OP1017,rollover,Near-miss,True,belt_off_travel,Sunny,9012.0,seatbelt unfastened while traveling (ROPS protection bypassed),Retrain operator on seatbelt policy (OSHA 29 CFR 1926.602); enable belt-interlock reminder.,0.6,1.0,"{""trigger"": ""belt_off_travel"", ""site_id"": ""SITE01""}"
INC00004,2025-03-17 10:18:00,EXC005,OP1018,struck_by,Near-miss,True,red_zone_swing,Sunny,8463.0,worker entered swing radius during active dig cycle,Reinforce swing-radius exclusion zone signage and spotter protocol.,0.92,5.7,"{""trigger"": ""red_zone_swing"", ""site_id"": ""SITE02""}"
INC00005,2025-03-17 10:58:00,EXC006,OP1013,rollover,Near-miss,True,belt_off_travel,Sunny,8719.0,seatbelt unfastened while traveling (ROPS protection bypassed),Retrain operator on seatbelt policy (OSHA 29 CFR 1926.602); enable belt-interlock reminder.,0.44,7.7,"{""trigger"": ""belt_off_travel"", ""site_id"": ""SITE03""}"
INC00006,2025-03-17 11:06:00,EXC003,OP1019,struck_by,Near-miss,True,red_zone_swing,Sunny,9037.0,worker entered swing radius during active dig cycle,Reinforce swing-radius exclusion zone signage and spotter protocol.,0.65,13.4,"{""trigger"": ""red_zone_swing"", ""site_id"": ""SITE03""}"
INC00007,2025-03-17 11:48:00,EXC003,OP1019,struck_by,Near-miss,True,red_zone_swing,Sunny,9037.0,worker entered swing radius during active dig cycle,Reinforce swing-radius exclusion zone signage and spotter protocol.,0.76,4.0,"{""trigger"": ""red_zone_swing"", ""site_id"": ""SITE03""}"
INC00008,2025-03-17 13:37:00,EXC006,OP1013,struck_by,Near-miss,True,red_zone_swing,Sunny,8446.0,worker entered swing radius during active dig cycle,Reinforce swing-radius exclusion zone signage and spotter protocol.,0.4,14.4,"{""trigger"": ""red_zone_swing"", ""site_id"": ""SITE03""}"
INC00009,2025-03-17 14:01:00,EXC004,OP1017,rollover,Near-miss,True,belt_off_travel,Sunny,8794.0,seatbelt unfastened while traveling (ROPS protection bypassed),Retrain operator on seatbelt policy (OSHA 29 CFR 1926.602); enable belt-interlock reminder.,0.4,4.2,"{""trigger"": ""belt_off_travel"", ""site_id"": ""SITE01""}"
INC00010,2025-03-17 14:20:00,EXC004,OP1017,struck_by,Near-miss,True,red_zone_swing,Sunny,8794.0,worker entered swing radius during active dig cycle,Reinforce swing-radius exclusion zone signage and spotter protocol.,0.62,1.0,"{""trigger"": ""red_zone_swing"", ""site_id"": ""SITE01""}"
INC00011,2025-03-17 14:33:00,EXC003,OP1019,struck_by,Near-miss,True,red_zone_swing,Sunny,8736.0,worker entered swing radius during active dig cycle,Reinforce swing-radius exclusion zone signage and spotter protocol.,0.85,3.7,"{""trigger"": ""red_zone_swing"", ""site_id"": ""SITE03""}"
INC00012,2025-03-17 21:22:00,WLD002,OP1021,struck_by,Minor,False,red_zone_swing,Sunny,8192.0,worker entered swing radius during active dig cycle,Reinforce swing-radius exclusion zone signage and spotter protocol.,0.8,2.6,"{""trigger"": ""red_zone_swing"", ""site_id"": ""SITE02""}"
INC00013,2025-03-17 22:11:00,EXC002,OP1003,struck_by,Near-miss,True,red_zone_swing,Sunny,8374.0,worker entered swing radius during active dig cycle,Reinforce swing-radius exclusion zone signage and spotter protocol.,0.78,4.4,"{""trigger"": ""red_zone_swing"", ""site_id"": ""SITE02""}"
INC00014,2025-03-17 22:41:00,WLD002,OP1021,struck_by,Near-miss,True,red_zone_swing,Sunny,8374.0,worker entered swing radius during active dig cycle,Reinforce swing-radius exclusion zone signage and spotter protocol.,0.85,2.1,"{""trigger"": ""red_zone_swing"", ""site_id"": ""SITE02""}"
INC00015,2025-03-18 01:34:00,WLD002,OP1021,struck_by,Near-miss,True,red_zone_swing,Sunny,7795.0,worker entered swing radius during active dig cycle,Reinforce swing-radius exclusion zone signage and spotter protocol.,0.53,9.4,"{""trigger"": ""red_zone_swing"", ""site_id"": ""SITE02""}"
