task_id,task_type,weather,operator_skill,machine_age_yrs,est_min,actual_min,site_id,precip_mm,wind_kmh,visibility_m,temp_c,humidity_pct,soil_type,hour_of_day,day_of_week,is_holiday,planned_volume_m3,material_type,material_density_kg_m3,dig_depth_m,haul_distance_m,truck_wait_min,number_of_trucks,operator_id,machine_id,hours_since_last_service,operator_fatigue_score_at_start,rest_hours_before_shift,site_congestion_index_at_start,number_of_nearby_workers,ppe_compliance_flag,pre_start_checklist_completed,task_date,task_sequence_number_in_shift,previous_task_overrun_ratio,slot
SCHED-OP1001-1,Material Loading,Rainy,Intermediate,1,34,43,SITE02,12.7,9.3,1732.0,22.5,80.0,laterite,14,3,False,139.4,aggregate,1918.0,3.38,482.0,0.4,2,OP1001,WLD001,95.4,0.406,6.5,0.5,1,True,True,2025-05-01,1,,1
SCHED-OP1001-2,Trenching,Windy,Intermediate,6,60,88,SITE01,0.0,44.1,5391.0,35.5,31.0,clay,13,3,False,94.6,soil,1572.0,3.39,22.0,10.4,1,OP1001,WLD003,346.9,0.03,9.7,0.5,2,True,True,2025-05-01,2,,2
SCHED-OP1001-3,Demolition,Rainy,Intermediate,3,86,113,SITE02,13.7,19.2,5848.0,27.6,88.0,laterite,12,3,False,155.6,debris_concrete,2045.0,4.03,91.0,1.0,2,OP1001,EXC003,119.4,0.155,7.9,0.5,5,True,True,2025-05-01,3,,3
SCHED-OP1002-1,Material Loading,Windy,Expert,2,32,40,SITE02,0.0,34.4,4512.0,30.8,30.0,laterite,10,3,False,115.5,aggregate,1843.0,4.25,321.0,9.2,3,OP1002,EXC001,235.7,0.067,8.8,0.5,0,True,True,2025-05-01,1,,1
SCHED-OP1002-2,Trenching,Windy,Expert,2,43,59,SITE02,0.0,39.4,5498.0,32.8,47.0,laterite,13,3,False,64.1,soil,1654.0,0.91,484.0,13.6,3,OP1002,EXC005,245.4,0.505,6.6,0.5,3,True,True,2025-05-01,2,,2
SCHED-OP1002-3,Material Loading,Rainy,Expert,6,29,38,SITE01,12.5,6.8,5306.0,27.9,86.0,clay,16,3,False,100.5,aggregate,1575.0,3.24,95.0,0.3,3,OP1002,EXC006,49.2,0.317,7.2,0.5,3,True,True,2025-05-01,3,,3
SCHED-OP1003-1,Earth Excavation,Rainy,Intermediate,2,69,84,SITE02,9.7,9.0,4207.0,26.2,87.0,laterite,10,3,False,177.4,soil,1517.0,1.11,486.0,0.2,4,OP1003,EXC001,235.7,0.452,7.6,0.5,5,True,False,2025-05-01,1,,1
SCHED-OP1003-2,Material Loading,Cloudy,Intermediate,2,28,29,SITE02,0.0,12.3,8538.0,28.7,78.0,laterite,16,3,False,121.7,aggregate,1558.0,4.15,272.0,2.4,1,OP1003,EXC005,245.4,0.054,8.1,0.5,2,True,True,2025-05-01,2,,2
SCHED-OP1003-3,Grading,Rainy,Intermediate,6,37,50,SITE02,10.6,18.9,5869.0,27.8,87.0,laterite,9,3,False,196.7,soil,1598.0,1.02,204.0,8.9,4,OP1003,EXC004,138.6,0.424,7.4,0.5,2,True,True,2025-05-01,3,,3
SCHED-OP1004-1,Trenching,Cloudy,Beginner,6,41,70,SITE01,0.0,16.2,4482.0,25.7,83.0,clay,8,3,False,56.7,soil,1593.0,3.25,478.0,1.8,2,OP1004,WLD003,346.9,0.168,8.6,0.5,3,True,True,2025-05-01,1,,1
SCHED-OP1004-2,Earth Excavation,Rainy,Beginner,2,72,124,SITE01,3.6,17.4,4784.0,27.0,92.0,clay,15,3,False,208.6,soil,1675.0,3.97,475.0,4.6,3,OP1004,DZR001,411.3,0.367,6.8,0.5,3,True,True,2025-05-01,2,,2
SCHED-OP1005-1,Earth Excavation,Rainy,Intermediate,6,41,56,SITE01,2.8,13.5,4251.0,24.7,89.0,clay,16,3,False,127.1,soil,1691.0,1.37,535.0,0.6,1,OP1005,WLD003,346.9,0.234,6.7,0.5,2,False,True,2025-05-01,1,,1
SCHED-OP1005-2,Material Loading,Rainy,Intermediate,6,26,36,SITE01,9.0,8.5,2077.0,26.5,89.0,clay,13,3,False,93.1,aggregate,1511.0,2.26,464.0,4.4,0,OP1005,WLD002,456.6,0.04,8.3,0.5,3,True,True,2025-05-01,2,,2
SCHED-OP1006-1,Material Loading,Rainy,Beginner,1,32,53,SITE01,11.8,10.1,3984.0,23.1,85.0,clay,8,3,False,138.6,aggregate,1522.0,2.6,784.0,1.4,3,OP1006,WLD001,95.4,0.168,8.0,0.5,2,True,True,2025-05-01,1,,1
SCHED-OP1006-2,Earth Excavation,Rainy,Beginner,6,80,145,SITE01,14.1,7.1,5611.0,27.4,85.0,clay,13,3,False,217.4,soil,1492.0,3.05,144.0,0.3,0,OP1006,WLD002,456.6,0.427,7.6,0.5,4,True,True,2025-05-01,2,,2
