task_id,task_type,weather,operator_skill,machine_age_yrs,est_min,actual_min,site_id,precip_mm,wind_kmh,visibility_m,temp_c,humidity_pct,soil_type,hour_of_day,day_of_week,is_holiday,planned_volume_m3,material_type,material_density_kg_m3,dig_depth_m,haul_distance_m,truck_wait_min,number_of_trucks,operator_id,machine_id,hours_since_last_service,operator_fatigue_score_at_start,rest_hours_before_shift,site_congestion_index_at_start,number_of_nearby_workers,ppe_compliance_flag,pre_start_checklist_completed,task_date,task_sequence_number_in_shift,previous_task_overrun_ratio
T001,Earth Excavation,Sunny,Expert,2,60,58,SITE02,0.0,11.7,9891.0,37.9,35.0,laterite,8,1,False,165.4,soil,1499.0,0.96,421.0,3.0,2,OP1027,EXC001,235.7,0.073,8.2,0.816,3,True,True,2025-06-10,184,1.0
T002,Trenching,Rainy,Intermediate,4,45,52,SITE01,12.4,14.2,3147.0,25.0,91.0,clay,7,2,False,74.0,soil,1444.0,2.0,417.0,3.4,4,OP1001,WLD004,45.5,0.042,8.4,0.551,2,True,True,2025-05-28,152,1.079
T003,Material Loading,Cloudy,Beginner,3,30,42,SITE02,0.0,5.9,4892.0,30.6,82.0,laterite,16,5,False,117.5,aggregate,1687.0,1.88,53.0,1.0,2,OP1019,EXC003,119.4,0.183,8.0,0.51,2,True,True,2025-04-12,61,1.5
T004,Grading,Sunny,Expert,5,35,33,SITE01,0.0,9.5,9056.0,34.1,36.0,clay,9,5,False,151.5,soil,1658.0,3.19,163.0,0.1,2,OP1016,WLD001,95.4,0.4,6.3,0.694,3,True,True,2025-06-07,189,1.172
T005,Demolition,Windy,Intermediate,6,90,105,SITE01,0.0,30.5,7484.0,27.1,57.0,clay,8,0,False,199.1,debris_concrete,2063.0,0.55,453.0,11.8,2,OP1028,EXC004,138.6,0.072,7.5,0.673,2,True,True,2025-05-19,131,1.208
T1000,Material Loading,Cloudy,Intermediate,7,17,20,SITE03,0.0,5.9,5633.0,29.4,83.0,sandy_loam,8,5,False,58.9,aggregate,1815.0,1.5,397.0,1.3,2,OP1009,DZR002,56.1,0.139,8.1,0.571,3,True,True,2025-04-12,78,1.265
T1001,Earth Excavation,Sunny,Expert,2,51,46,SITE01,0.0,4.5,9137.0,36.3,52.0,clay,15,2,False,131.9,soil,1722.0,0.55,273.0,7.8,3,OP1021,DZR001,411.3,0.327,8.0,0.714,1,True,True,2025-05-14,130,1.091
T1002,Demolition,Cloudy,Intermediate,2,65,89,SITE01,0.0,9.4,6835.0,28.2,83.0,clay,15,1,False,119.5,debris_concrete,2294.0,2.22,705.0,0.2,3,OP1031,EXC001,235.7,0.373,7.7,0.694,0,True,True,2025-03-18,3,1.06
T1003,Demolition,Cloudy,Intermediate,7,94,109,SITE01,0.0,10.3,7444.0,28.1,75.0,clay,10,1,False,169.3,debris_concrete,2142.0,3.36,158.0,0.9,3,OP1007,DZR002,56.1,0.396,7.0,0.469,2,True,True,2025-04-29,91,1.282
T1004,Grading,Rainy,Beginner,6,25,36,SITE03,9.1,13.9,4607.0,27.4,83.0,sandy_loam,13,4,False,130.0,soil,1579.0,3.74,681.0,11.0,2,OP1029,EXC006,49.2,0.251,7.1,0.612,1,True,True,2025-05-02,92,1.698
T1005,Material Loading,Rainy,Beginner,3,28,45,SITE02,11.8,7.6,5937.0,25.1,89.0,laterite,11,6,False,112.8,aggregate,1725.0,1.59,571.0,3.0,0,OP1032,EXC003,119.4,0.27,7.8,0.571,1,True,True,2025-05-11,131,1.481
T1006,Demolition,Cloudy,Intermediate,1,112,120,SITE01,0.0,6.7,4897.0,29.8,70.0,clay,9,0,False,232.9,debris_concrete,2261.0,1.7,506.0,0.4,0,OP1025,WLD001,95.4,0.283,7.9,0.857,2,True,True,2025-05-05,101,1.097
T1007,Demolition,Cloudy,Beginner,6,106,145,SITE03,0.0,9.0,7352.0,29.4,81.0,sandy_loam,8,2,False,189.0,debris_concrete,1934.0,0.74,71.0,16.4,1,OP1023,EXC004,138.6,0.313,7.0,0.918,3,True,True,2025-04-23,86,1.2
T1008,Material Loading,Sunny,Intermediate,4,37,34,SITE03,0.0,7.8,8060.0,29.6,36.0,sandy_loam,8,2,False,146.4,aggregate,1708.0,1.94,117.0,0.9,3,OP1040,WLD004,45.5,0.111,7.9,0.469,1,True,True,2025-05-14,141,1.108
T1009,Material Loading,Rainy,Expert,7,41,56,SITE01,8.7,8.7,3567.0,25.9,85.0,clay,8,0,False,156.6,aggregate,1775.0,1.27,308.0,0.0,0,OP1027,EXC002,262.9,0.128,8.3,0.857,2,True,True,2025-05-05,108,1.04
