ts,machine_id,operator_id,site_id,engine_on,state,engine_rpm,fuel_rate_lph,seatbelt,swing_rate_dps,travel_kmh,reverse,hydraulic_pressure_bar,hydraulic_oil_temp_c,coolant_temp_c,battery_voltage_v,def_level_pct,payload_kg,ground_pressure_kpa,gps_lat,gps_lon,gps_heading,altitude_m,slope_pct,vibration_rms,cabin_noise_db,fault_code_active,nearest_person_m,zone,nearby_machines_count,gps_accuracy_m
2025-03-17 07:51:00,EXC001,OP1006,SITE01,True,idle,760.0,3.8,Fastened,0.0,0.0,False,9.6,36.3,41.7,27.34,100.0,0.0,79.6,19.076017,72.877697,294.1,6.3,1.5,0.33,64.0,False,104.7,green,2,3.9
2025-03-17 07:52:00,EXC001,OP1006,SITE01,True,idle,760.0,3.57,Fastened,0.8,0.0,False,10.0,39.0,40.8,27.82,100.0,0.0,84.1,19.076029,72.877681,74.1,8.1,1.3,0.37,61.1,False,35.8,green,0,2.9
2025-03-17 07:53:00,EXC001,OP1006,SITE01,True,idle,723.0,4.07,Fastened,1.9,0.0,False,16.8,41.4,43.3,26.96,100.0,0.0,82.3,19.076029,72.877681,29.4,6.1,0.0,0.86,58.5,False,108.5,green,0,4.0
2025-03-17 07:54:00,EXC001,OP1006,SITE01,True,idle,800.0,3.53,Fastened,1.1,0.0,False,5.9,44.1,45.4,28.01,100.0,0.0,79.9,19.076041,72.877664,4.3,7.2,1.4,0.56,60.4,False,46.5,green,1,3.2
2025-03-17 07:55:00,EXC001,OP1006,SITE01,True,idle,716.0,2.8,Fastened,0.1,0.0,False,15.7,44.4,48.4,27.0,100.0,0.0,79.9,19.076056,72.877677,157.6,5.5,1.8,0.25,64.0,False,88.0,green,0,1.3
2025-03-17 07:56:00,EXC001,OP1006,SITE01,True,work,1663.0,15.24,Fastened,37.8,0.0,False,134.1,47.6,48.4,27.57,100.0,0.0,79.4,19.076048,72.877678,183.5,9.1,0.4,2.94,81.6,False,93.5,green,1,1.1
2025-03-17 07:57:00,EXC001,OP1006,SITE01,True,work,1894.0,15.0,Fastened,44.6,0.0,False,238.7,47.5,52.1,27.55,100.0,0.0,84.3,19.076056,72.877688,100.6,9.0,1.8,3.37,88.2,False,92.7,green,2,1.6
2025-03-17 07:58:00,EXC001,OP1006,SITE01,True,work,1796.0,16.49,Fastened,52.1,0.0,False,231.7,49.6,52.2,27.55,100.0,1637.0,91.1,19.076056,72.877702,97.5,8.8,1.7,3.08,85.0,False,46.5,green,0,2.5
2025-03-17 07:59:00,EXC001,OP1006,SITE01,True,work,1911.0,18.17,Fastened,43.6,0.0,False,200.3,50.2,56.2,27.35,100.0,0.0,84.7,19.07604,72.877703,266.9,6.3,0.7,3.01,84.8,False,37.7,green,2,1.2
2025-03-17 08:00:00,EXC001,OP1006,SITE01,True,work,1714.0,14.87,Fastened,29.1,0.0,False,179.7,55.5,53.0,27.29,100.0,0.0,82.4,19.076046,72.877701,56.5,6.6,0.9,3.11,81.3,False,26.7,green,1,1.8
2025-03-17 08:01:00,EXC001,OP1006,SITE01,True,work,1782.0,15.14,Fastened,27.7,0.0,False,253.4,51.8,57.6,27.81,100.0,0.0,80.1,19.076034,72.877702,165.4,6.6,1.8,3.86,86.9,False,87.3,green,0,3.7
2025-03-17 08:02:00,EXC001,OP1006,SITE01,True,work,1889.0,14.84,Fastened,25.3,0.0,False,213.4,55.3,59.9,27.34,100.0,1505.0,86.8,19.076031,72.877714,338.3,7.0,2.3,3.18,89.7,False,96.2,green,0,2.5
2025-03-17 08:03:00,EXC001,OP1006,SITE01,True,work,1598.0,15.14,Fastened,31.8,0.0,False,195.3,55.6,60.1,27.3,100.0,0.0,87.7,19.076035,72.87772,159.0,7.3,1.0,2.86,80.2,False,68.1,green,0,3.9
2025-03-17 08:04:00,EXC001,OP1006,SITE01,True,work,1877.0,17.74,Fastened,18.9,0.0,False,220.8,60.4,57.9,26.98,100.0,2006.0,87.7,19.076021,72.877731,272.8,6.6,3.2,3.17,87.3,False,83.6,green,0,3.3
2025-03-17 08:05:00,EXC001,OP1006,SITE01,True,work,1662.0,14.11,Fastened,20.4,0.0,False,223.9,60.6,60.9,27.52,100.0,0.0,83.8,19.076011,72.877718,300.3,9.0,2.4,4.18,81.3,False,41.7,green,0,2.0
