timestamp,machine_id,operator_id,engine_hours,fuel_used_l,load_cycles,idle_min,seatbelt_status,safety_alert
2025-03-17 19:00:00,DZR001,OP1024,51.9,8.5,6,5,Fastened,No
2025-03-17 20:00:00,DZR001,OP1024,52.9,18.2,13,9,Fastened,No
2025-03-17 21:00:00,DZR001,OP1024,53.9,18.9,12,2,Fastened,No
2025-03-17 22:00:00,DZR001,OP1024,54.9,17.8,12,12,Fastened,No
2025-03-17 23:00:00,DZR001,OP1024,55.9,18.7,13,6,Fastened,No
2025-03-18 00:00:00,DZR001,OP1024,56.9,19.1,13,4,Fastened,No
2025-03-18 01:00:00,DZR001,OP1024,57.9,18.2,13,11,Fastened,No
2025-03-18 02:00:00,DZR001,OP1024,58.9,18.0,12,6,Fastened,No
2025-03-18 03:00:00,DZR001,OP1024,59.3,7.6,6,4,Fastened,No
2025-03-18 07:00:00,DZR001,OP1019,59.4,1.8,1,5,Fastened,No
2025-03-18 08:00:00,DZR001,OP1019,60.4,19.3,13,4,Fastened,No
2025-03-18 09:00:00,DZR001,OP1019,61.4,19.9,13,2,Fastened,No
2025-03-18 10:00:00,DZR001,OP1019,62.4,18.9,13,4,Fastened,No
2025-03-18 11:00:00,DZR001,OP1019,63.4,18.7,13,9,Fastened,No
2025-03-18 12:00:00,DZR001,OP1019,64.4,18.6,12,7,Fastened,Yes
