machine_id,operator_id,window,anomaly_score,reason,habit_vs_bottleneck
DZR001,OP1001,2025-03-19 07:45:00,0.6166201357318987,idle ratio 83% vs your usual 33%,unclassified
DZR001,OP1001,2025-03-19 10:45:00,0.6289628294680136,11 belt-unfastened minute(s) this window,unclassified
DZR001,OP1001,2025-03-19 11:00:00,0.6417698373705075,idle ratio 87% vs your usual 33%; 13 belt-unfastened minute(s) this window,unclassified
DZR001,OP1001,2025-03-19 14:45:00,0.6528498350025632,idle ratio 87% vs your usual 33%; 13 belt-unfastened minute(s) this window,operator_habit
DZR001,OP1001,2025-03-24 11:30:00,0.6528234889387161,idle ratio 100% vs your usual 33%; 15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1001,2025-03-24 13:30:00,0.6500393162026491,idle ratio 100% vs your usual 33%; 15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1001,2025-04-12 11:15:00,0.6604052181731519,idle ratio 100% vs your usual 33%; 15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1001,2025-04-12 12:15:00,0.6353006726782565,11 belt-unfastened minute(s) this window; high fuel per cycle vs your baseline,operator_habit
DZR001,OP1001,2025-04-12 14:30:00,0.6429022906115557,idle ratio 100% vs your usual 33%; 15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1001,2025-04-12 14:45:00,0.6607140992830244,idle ratio 100% vs your usual 33%; 15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1001,2025-04-12 15:00:00,0.6481562316266687,idle ratio 100% vs your usual 33%; 15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1001,2025-04-25 15:00:00,0.6082996597624318,mildly elevated vs baseline: high fuel per cycle vs your baseline,unclassified
DZR001,OP1001,2025-04-30 10:00:00,0.6463089431851147,idle ratio 100% vs your usual 33%; 15 belt-unfastened minute(s) this window,operator_habit
DZR001,OP1001,2025-04-30 13:45:00,0.6297368174056536,11 belt-unfastened minute(s) this window,unclassified
DZR001,OP1001,2025-04-30 14:15:00,0.6302275306134282,idle ratio 80% vs your usual 33%; 12 belt-unfastened minute(s) this window,operator_habit
DZR001,OP1001,2025-04-30 14:30:00,0.6459696502010988,idle ratio 100% vs your usual 33%; 15 belt-unfastened minute(s) this window,unclassified
DZR001,OP1001,2025-04-30 14:45:00,0.6527907286028373,idle ratio 100% vs your usual 33%; 15 belt-unfastened minute(s) this window,unclassified
